CRIM ,ZN,INDUS,CHAS,NOX,PTRATIO
0.00632,18.0,2.31,0,0.538,15.3
0.02731,0.0,7.07,0,0.469,17.8
0.02729,0.0,7.07,0,0.469,17.8
0.03237,0.0,2.18,0,0.458,18.7
0.06905,0.0,2.18,0,0.458,18.7
0.02985,0.0,2.18,0,0.458,18.7
0.08829,12.5,7.87,0,0.524,15.2
0.14455,12.5,7.87,0,0.524,15.2
0.21124,12.5,7.87,0,0.524,15.2
0.17004,12.5,7.87,0,0.524,15.2
0.22489,12.5,7.87,0,0.524,15.2
0.11747,12.5,7.87,0,0.524,15.2
0.09378,12.5,7.87,0,0.524,15.2
0.62976,0.0,8.14,0,0.538,21.0
0.63796,0.0,8.14,0,0.538,21.0
0.62739,0.0,8.14,0,0.538,21.0
1.05393,0.0,8.14,0,0.538,21.0
0.7842,0.0,8.14,0,0.538,21.0
0.80271,0.0,8.14,0,0.538,21.0
0.7258,0.0,8.14,0,0.538,21.0
1.25179,0.0,8.14,0,0.538,21.0
0.85204,0.0,8.14,0,0.538,21.0
1.23247,0.0,8.14,0,0.538,21.0
0.98843,0.0,8.14,0,0.538,21.0
0.75026,0.0,8.14,0,0.538,21.0
0.84054,0.0,8.14,0,0.538,21.0
0.67191,0.0,8.14,0,0.538,21.0
0.95577,0.0,8.14,0,0.538,21.0
0.77299,0.0,8.14,0,0.538,21.0
1.00245,0.0,8.14,0,0.538,21.0
1.13081,0.0,8.14,0,0.538,21.0
1.35472,0.0,8.14,0,0.538,21.0
1.38799,0.0,8.14,0,0.538,21.0
1.15172,0.0,8.14,0,0.538,21.0
1.61282,0.0,8.14,0,0.538,21.0
0.06417,0.0,5.96,0,0.499,19.2
0.09744,0.0,5.96,0,0.499,19.2
0.08014,0.0,5.96,0,0.499,19.2
0.17505,0.0,5.96,0,0.499,19.2
0.02763,75.0,2.95,0,0.428,18.3
0.03359,75.0,2.95,0,0.428,18.3
0.12744,0.0,6.91,0,0.448,17.9
0.1415,0.0,6.91,0,0.448,17.9
0.15936,0.0,6.91,0,0.448,17.9
0.12269,0.0,6.91,0,0.448,17.9
0.17142,0.0,6.91,0,0.448,17.9
0.18836,0.0,6.91,0,0.448,17.9
0.22927,0.0,6.91,0,0.448,17.9
0.25387,0.0,6.91,0,0.448,17.9
0.21977,0.0,6.91,0,0.448,17.9
0.08873,21.0,5.64,0,0.439,16.8
0.04337,21.0,5.64,0,0.439,16.8
0.0536,21.0,5.64,0,0.439,16.8
0.04981,21.0,5.64,0,0.439,16.8
0.0136,75.0,4.0,0,0.41,21.1
0.01311,90.0,1.22,0,0.403,17.9
0.02055,85.0,0.74,0,0.41,17.3
0.01432,100.0,1.32,0,0.411,15.1
0.15445,25.0,5.13,0,0.453,19.7
0.10328,25.0,5.13,0,0.453,19.7
0.14932,25.0,5.13,0,0.453,19.7
0.17171,25.0,5.13,0,0.453,19.7
0.11027,25.0,5.13,0,0.453,19.7
0.1265,25.0,5.13,0,0.453,19.7
0.01951,17.5,1.38,0,0.4161,18.6
0.03584,80.0,3.37,0,0.398,16.1
0.04379,80.0,3.37,0,0.398,16.1
0.05789,12.5,6.07,0,0.409,18.9
0.13554,12.5,6.07,0,0.409,18.9
0.12816,12.5,6.07,0,0.409,18.9
0.08826,0.0,10.81,0,0.413,19.2
0.15876,0.0,10.81,0,0.413,19.2
0.09164,0.0,10.81,0,0.413,19.2
0.19539,0.0,10.81,0,0.413,19.2
0.07896,0.0,12.83,0,0.437,18.7
0.09512,0.0,12.83,0,0.437,18.7
0.10153,0.0,12.83,0,0.437,18.7
0.08707,0.0,12.83,0,0.437,18.7
0.05646,0.0,12.83,0,0.437,18.7
0.08387,0.0,12.83,0,0.437,18.7
0.04113,25.0,4.86,0,0.426,19.0
0.04462,25.0,4.86,0,0.426,19.0
0.03659,25.0,4.86,0,0.426,19.0
0.03551,25.0,4.86,0,0.426,19.0
0.05059,0.0,4.49,0,0.449,18.5
0.05735,0.0,4.49,0,0.449,18.5
0.05188,0.0,4.49,0,0.449,18.5
0.07151,0.0,4.49,0,0.449,18.5
0.0566,0.0,3.41,0,0.489,17.8
0.05302,0.0,3.41,0,0.489,17.8
0.04684,0.0,3.41,0,0.489,17.8
0.03932,0.0,3.41,0,0.489,17.8
0.04203,28.0,15.04,0,0.464,18.2
0.02875,28.0,15.04,0,0.464,18.2
0.04294,28.0,15.04,0,0.464,18.2
0.12204,0.0,2.89,0,0.445,18.0
0.11504,0.0,2.89,0,0.445,18.0
0.12083,0.0,2.89,0,0.445,18.0
0.08187,0.0,2.89,0,0.445,18.0
