Pclass,Name,Age,SibSp,Parch,Sex
3,108,22.0,1,0,1
1,190,38.0,1,0,0
3,353,26.0,0,0,0
1,272,35.0,1,0,0
3,15,35.0,0,0,1
3,554,,0,0,1
1,515,54.0,0,0,1
3,624,2.0,3,1,1
3,412,27.0,0,2,0
2,576,14.0,1,0,0
3,727,4.0,1,1,0
1,95,58.0,0,0,0
3,729,20.0,0,0,1
3,28,39.0,1,5,1
3,840,14.0,0,0,0
2,359,55.0,0,0,0
3,682,2.0,4,1,1
2,867,,0,0,1
3,839,31.0,1,0,0
3,512,,0,0,0
2,273,35.0,0,0,1
2,80,34.0,0,0,1
3,523,15.0,0,0,0
1,765,28.0,0,0,1
3,626,8.0,3,1,0
3,44,38.0,1,5,0
3,240,,0,0,1
1,260,19.0,3,2,1
3,605,,0,0,0
3,813,,0,0,1
1,828,40.0,0,0,1
1,776,,1,0,0
3,289,,0,0,0
2,856,66.0,0,0,1
1,535,28.0,1,0,1
1,372,42.0,1,0,1
3,505,,0,0,1
3,134,21.0,0,0,1
3,837,18.0,2,0,0
3,589,14.0,1,0,0
3,7,40.0,1,0,0
2,827,27.0,1,0,0
3,446,,0,0,1
2,456,3.0,1,2,0
3,212,19.0,0,0,0
3,697,,0,0,1
3,473,,1,0,1
3,604,,0,0,0
3,726,,2,0,1
3,38,18.0,1,0,0
3,629,7.0,4,1,1
3,594,21.0,0,0,1
1,333,49.0,1,0,0
2,246,29.0,1,0,0
1,620,65.0,0,1,1
1,873,,0,0,1
2,707,21.0,0,0,0
3,595,28.5,0,0,1
2,853,5.0,1,2,0
3,299,11.0,5,2,1
3,749,22.0,0,0,1
1,385,38.0,0,0,0
1,337,45.0,1,0,1
3,755,4.0,3,2,1
1,784,,0,0,1
3,560,,1,1,1
2,596,29.0,0,0,0
3,185,19.0,0,0,1
3,25,17.0,4,2,0
3,440,26.0,2,0,1
2,396,32.0,0,0,1
3,300,16.0,5,2,0
2,376,21.0,0,0,1
3,161,26.0,1,0,1
3,87,32.0,0,0,1
3,546,25.0,0,0,1
3,778,,0,0,1
3,563,,0,0,1
2,127,0.83,0,2,1
3,223,30.0,0,0,0
3,842,22.0,0,0,1
3,737,29.0,0,0,1
3,519,,0,0,0
1,141,28.0,0,0,1
2,386,17.0,0,0,0
3,52,33.0,3,0,0
3,255,16.0,1,3,1
3,764,,0,0,1
1,259,23.0,3,2,0
3,149,24.0,0,0,1
3,159,29.0,0,0,1
3,31,20.0,0,0,1
1,150,46.0,1,0,1
3,209,26.0,1,2,1
3,184,59.0,0,0,1
3,740,,0,0,1
1,292,71.0,0,0,1
1,308,23.0,0,1,1
2,219,34.0,0,1,0
2,422,34.0,1,0,1
3,656,28.0,0,0,0
3,658,,0,0,1
1,858,21.0,0,1,1
3,405,33.0,0,0,1
3,312,37.0,2,0,1
3,542,28.0,0,0,1
3,724,21.0,0,0,0
3,559,,0,0,1
3,675,38.0,0,0,1
3,552,,1,0,0
1,667,47.0,0,0,1
3,882,14.5,1,0,0
3,67,22.0,0,0,1
3,417,20.0,1,0,0
3,46,17.0,0,0,0
3,645,21.0,0,0,1
3,178,70.5,0,0,1
2,826,29.0,1,0,1
1,70,24.0,0,1,1
3,24,2.0,4,2,0
2,362,21.0,2,0,1
3,551,,0,0,1
