CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,ZN
0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,18.0
0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,0.0
0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,0.0
0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,0.0
0,0.458,7.147,54.2,6.0622,3,222,18.7,396.9,0.0
0,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,0.0
0,0.524,6.012,66.6,5.5605,5,311,15.2,395.6,12.5
0,0.524,6.172,96.1,5.9505,5,311,15.2,396.9,12.5
0,0.524,5.631,100.0,6.0821,5,311,15.2,386.63,12.5
0,0.524,6.004,85.9,6.5921,5,311,15.2,386.71,12.5
0,0.524,6.377,94.3,6.3467,5,311,15.2,392.52,12.5
0,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,12.5
0,0.524,5.889,39.0,5.4509,5,311,15.2,390.5,12.5
0,0.538,5.949,61.8,4.7075,4,307,21.0,396.9,0.0
0,0.538,6.096,84.5,4.4619,4,307,21.0,380.02,0.0
0,0.538,5.834,56.5,4.4986,4,307,21.0,395.62,0.0
0,0.538,5.935,29.3,4.4986,4,307,21.0,386.85,0.0
0,0.538,5.99,81.7,4.2579,4,307,21.0,386.75,0.0
0,0.538,5.456,36.6,3.7965,4,307,21.0,288.99,0.0
0,0.538,5.727,69.5,3.7965,4,307,21.0,390.95,0.0
0,0.538,5.57,98.1,3.7979,4,307,21.0,376.57,0.0
0,0.538,5.965,89.2,4.0123,4,307,21.0,392.53,0.0
0,0.538,6.142,91.7,3.9769,4,307,21.0,396.9,0.0
0,0.538,5.813,100.0,4.0952,4,307,21.0,394.54,0.0
0,0.538,5.924,94.1,4.3996,4,307,21.0,394.33,0.0
0,0.538,5.599,85.7,4.4546,4,307,21.0,303.42,0.0
0,0.538,5.813,90.3,4.682,4,307,21.0,376.88,0.0
0,0.538,6.047,88.8,4.4534,4,307,21.0,306.38,0.0
0,0.538,6.495,94.4,4.4547,4,307,21.0,387.94,0.0
0,0.538,6.674,87.3,4.239,4,307,21.0,380.23,0.0
0,0.538,5.713,94.1,4.233,4,307,21.0,360.17,0.0
0,0.538,6.072,100.0,4.175,4,307,21.0,376.73,0.0
0,0.538,5.95,82.0,3.99,4,307,21.0,232.6,0.0
0,0.538,5.701,95.0,3.7872,4,307,21.0,358.77,0.0
0,0.538,6.096,96.9,3.7598,4,307,21.0,248.31,0.0
0,0.499,5.933,68.2,3.3603,5,279,19.2,396.9,0.0
0,0.499,5.841,61.4,3.3779,5,279,19.2,377.56,0.0
0,0.499,5.85,41.5,3.9342,5,279,19.2,396.9,0.0
0,0.499,5.966,30.2,3.8473,5,279,19.2,393.43,0.0
0,0.428,6.595,21.8,5.4011,3,252,18.3,395.63,75.0
0,0.428,7.024,15.8,5.4011,3,252,18.3,395.62,75.0
0,0.448,6.77,2.9,5.7209,3,233,17.9,385.41,0.0
0,0.448,6.169,6.6,5.7209,3,233,17.9,383.37,0.0
0,0.448,6.211,6.5,5.7209,3,233,17.9,394.46,0.0
0,0.448,6.069,40.0,5.7209,3,233,17.9,389.39,0.0
0,0.448,5.682,33.8,5.1004,3,233,17.9,396.9,0.0
0,0.448,5.786,33.3,5.1004,3,233,17.9,396.9,0.0
0,0.448,6.03,85.5,5.6894,3,233,17.9,392.74,0.0
0,0.448,5.399,95.3,5.87,3,233,17.9,396.9,0.0
0,0.448,5.602,62.0,6.0877,3,233,17.9,396.9,0.0
0,0.439,5.963,45.7,6.8147,4,243,16.8,395.56,21.0
0,0.439,6.115,63.0,6.8147,4,243,16.8,393.97,21.0
0,0.439,6.511,21.1,6.8147,4,243,16.8,396.9,21.0
0,0.439,5.998,21.4,6.8147,4,243,16.8,396.9,21.0
0,0.41,5.888,47.6,7.3197,3,469,21.1,396.9,75.0
0,0.403,7.249,21.9,8.6966,5,226,17.9,395.93,90.0
0,0.41,6.383,35.7,9.1876,2,313,17.3,396.9,85.0
0,0.411,6.816,40.5,8.3248,5,256,15.1,392.9,100.0
0,0.453,6.145,29.2,7.8148,8,284,19.7,390.68,25.0
0,0.453,5.927,47.2,6.932,8,284,19.7,396.9,25.0
0,0.453,5.741,66.2,7.2254,8,284,19.7,395.11,25.0
0,0.453,5.966,93.4,6.8185,8,284,19.7,378.08,25.0
0,0.453,6.456,67.8,7.2255,8,284,19.7,396.9,25.0
0,0.453,6.762,43.4,7.9809,8,284,19.7,395.58,25.0
0,0.4161,7.104,59.5,9.2229,3,216,18.6,393.24,17.5
0,0.398,6.29,17.8,6.6115,4,337,16.1,396.9,80.0
0,0.398,5.787,31.1,6.6115,4,337,16.1,396.9,80.0
0,0.409,5.878,21.4,6.498,4,345,18.9,396.21,12.5
0,0.409,5.594,36.8,6.498,4,345,18.9,396.9,12.5
0,0.409,5.885,33.0,6.498,4,345,18.9,396.9,12.5
0,0.413,6.417,6.6,5.2873,4,305,19.2,383.73,0.0
0,0.413,5.961,17.5,5.2873,4,305,19.2,376.94,0.0
0,0.413,6.065,7.8,5.2873,4,305,19.2,390.91,0.0
0,0.413,6.245,6.2,5.2873,4,305,19.2,377.17,0.0
0,0.437,6.273,6.0,4.2515,5,398,18.7,394.92,0.0
