PetalLengthCm,Species,Id,split,SepalWidthCm
1.4,0,2,-0.9846131404950306,3.0
1.7,0,6,-0.2313782122305689,3.9
1.4,0,7,-0.5223265871849129,3.4
1.5,0,8,1.532710088605847,3.4
1.4,0,9,0.6790879288380334,2.9
1.5,0,10,-0.1918887236332407,3.1
1.6,0,12,-0.7714487519630457,3.4
1.4,0,13,-0.7014605966548274,3.0
1.1,0,14,1.3359082128005595,3.0
1.5,0,16,-0.9163159775400546,4.4
1.3,0,17,0.6252690798585988,3.9
1.5,0,20,-1.2848791960865402,3.8
1.7,0,21,-0.725991344690903,3.4
1.5,0,22,-0.578806705589217,3.7
1.7,0,24,0.8183959201777713,3.3
1.6,0,26,0.4186886191459978,3.0
1.6,0,27,-0.8299568562122658,3.4
1.6,0,30,-1.3966289034361483,3.2
1.6,0,31,0.7110544405970841,3.1
1.5,0,32,-0.2681579862030614,3.4
1.5,0,33,-0.2989455031681721,4.1
1.4,0,34,-0.6502083605786299,4.2
1.3,0,37,-2.135145929014835,3.5
1.5,0,38,-0.4657402061719473,3.1
1.3,0,39,0.4866888422641968,3.0
1.5,0,40,0.14702815411285,3.4
1.3,0,41,-0.6192469550737163,3.5
1.3,0,43,1.1724196606000217,3.2
1.9,0,45,-1.4142542268822027,3.8
1.4,0,46,0.5988526177167073,3.0
1.6,0,47,-0.3415011654858825,3.8
1.4,0,48,-1.7651590699239843,3.2
1.5,0,49,-0.472105989169167,3.7
4.9,1,53,-1.315281340956062,3.1
4.0,1,54,0.6937435211729267,2.3
4.5,1,56,-1.1634533646854723,2.8
4.6,1,59,-0.8470671267427377,2.9
3.9,1,60,-0.9513727220564512,2.7
3.5,1,61,-0.7393479989973478,2.0
4.2,1,62,-1.2301918764085054,3.0
4.0,1,63,1.786352408174667,2.2
4.7,1,64,-0.6580766268651084,2.9
3.6,1,65,0.2411651875592065,2.9
4.5,1,67,-0.345587276450486,3.0
4.1,1,68,-0.7637704351120713,2.7
4.5,1,69,0.7691088849807769,2.2
3.9,1,70,0.8593983263743754,2.5
4.8,1,71,0.0051150368559491,3.2
4.9,1,73,0.8177448468949375,2.5
4.7,1,74,-0.4086765663478742,2.8
4.3,1,75,0.1722934423010349,2.9
4.4,1,76,1.2776329967485,3.0
4.8,1,77,-0.9080661660553137,2.8
5.0,1,78,0.0323613152535258,3.0
4.5,1,79,-0.7246568055170931,2.9
3.5,1,80,0.1931753629115328,2.6
3.8,1,81,-0.1012874991968085,2.4
3.7,1,82,0.2990348200806618,2.4
3.9,1,83,0.2672157259357997,2.7
4.5,1,85,1.385255382391311,3.0
4.7,1,87,0.9566544871418488,3.1
4.4,1,88,0.4971472696132499,2.3
4.1,1,89,-0.0251231864480538,3.0
4.6,1,92,-0.5209681675242234,3.0
4.2,1,95,0.1305485908159574,2.7
4.2,1,96,1.3752907739903952,3.0
4.2,1,97,-0.3702444856824186,2.9
4.3,1,98,2.678553338333346,2.9
3.0,1,99,-0.7101894064796384,2.5
4.1,1,100,-0.0587448124836267,2.8
6.0,2,101,0.3403978996019478,3.3
5.1,2,102,0.8249381284801096,2.7
5.6,2,104,-1.895882810944536,2.9
5.8,2,105,0.1040481803127211,3.0
6.6,2,106,-0.0420543272857105,3.0
4.5,2,107,-0.7572043098355742,2.5
5.8,2,109,-0.4276742185975695,2.5
6.1,2,110,-0.026127815854025,3.6
5.1,2,111,-1.0254674327352369,3.2
5.5,2,113,1.463648264399373,3.0
5.0,2,114,0.5406621565272348,2.5
5.5,2,117,0.4989878935854164,3.0
6.7,2,118,0.1501742010684677,3.8
5.0,2,120,0.4073822632663688,2.2
4.9,2,122,-0.5730049437706498,2.8
6.7,2,123,-1.243380486667661,2.8
4.9,2,124,1.5432768007365114,2.7
5.7,2,125,-0.0834410834211712,3.3
6.0,2,126,1.5857878082069623,3.2
4.8,2,127,0.5112108770927789,2.8
5.6,2,129,-0.0436433333136861,2.8
5.8,2,130,0.2722019786171792,3.0
6.1,2,131,1.568368884609037,2.8
5.1,2,134,-0.550952126255519,2.8
5.6,2,135,-0.7660899128997603,2.6
6.1,2,136,1.0182188213472432,3.0
5.5,2,138,0.8146466668193387,3.1
4.8,2,139,-1.502227272740077,3.0
5.6,2,141,0.2526202639889062,3.1
5.1,2,142,0.1756386531618001,3.1
5.1,2,143,0.0302541429100851,2.7
5.9,2,144,-1.0375452926033606,3.2
5.7,2,145,0.6943849933148901,3.3
5.2,2,146,0.519469715133144,3.0
5.0,2,147,2.172972179013539,2.5
5.2,2,148,-0.0500826477678916,3.0
5.4,2,149,0.2272329974212496,3.4
5.1,2,150,1.1848818691160343,3.0
