Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,split
2,4.9,3.0,1.4,0.2,Iris-setosa,-0.9846131404950306
6,5.4,3.9,1.7,0.4,Iris-setosa,-0.23137821223056895
7,4.6,3.4,1.4,0.3,Iris-setosa,-0.5223265871849129
8,5.0,3.4,1.5,0.2,Iris-setosa,1.532710088605847
9,4.4,2.9,1.4,0.2,Iris-setosa,0.6790879288380334
10,4.9,3.1,1.5,0.1,Iris-setosa,-0.1918887236332407
12,4.8,3.4,1.6,0.2,Iris-setosa,-0.7714487519630457
13,4.8,3.0,1.4,0.1,Iris-setosa,-0.7014605966548274
14,4.3,3.0,1.1,0.1,Iris-setosa,1.3359082128005597
16,5.7,4.4,1.5,0.4,Iris-setosa,-0.9163159775400546
17,5.4,3.9,1.3,0.4,Iris-setosa,0.6252690798585988
20,5.1,3.8,1.5,0.3,Iris-setosa,-1.2848791960865402
21,5.4,3.4,1.7,0.2,Iris-setosa,-0.725991344690903
22,5.1,3.7,1.5,0.4,Iris-setosa,-0.578806705589217
24,5.1,3.3,1.7,0.5,Iris-setosa,0.8183959201777713
26,5.0,3.0,1.6,0.2,Iris-setosa,0.4186886191459978
27,5.0,3.4,1.6,0.4,Iris-setosa,-0.8299568562122658
30,4.7,3.2,1.6,0.2,Iris-setosa,-1.3966289034361485
31,4.8,3.1,1.6,0.2,Iris-setosa,0.7110544405970841
32,5.4,3.4,1.5,0.4,Iris-setosa,-0.2681579862030614
33,5.2,4.1,1.5,0.1,Iris-setosa,-0.29894550316817214
34,5.5,4.2,1.4,0.2,Iris-setosa,-0.6502083605786299
37,5.5,3.5,1.3,0.2,Iris-setosa,-2.135145929014835
38,4.9,3.1,1.5,0.1,Iris-setosa,-0.4657402061719473
39,4.4,3.0,1.3,0.2,Iris-setosa,0.48668884226419684
40,5.1,3.4,1.5,0.2,Iris-setosa,0.14702815411285008
41,5.0,3.5,1.3,0.3,Iris-setosa,-0.6192469550737163
43,4.4,3.2,1.3,0.2,Iris-setosa,1.1724196606000217
45,5.1,3.8,1.9,0.4,Iris-setosa,-1.4142542268822027
46,4.8,3.0,1.4,0.3,Iris-setosa,0.5988526177167073
47,5.1,3.8,1.6,0.2,Iris-setosa,-0.3415011654858825
48,4.6,3.2,1.4,0.2,Iris-setosa,-1.7651590699239845
49,5.3,3.7,1.5,0.2,Iris-setosa,-0.472105989169167
53,6.9,3.1,4.9,1.5,Iris-versicolor,-1.315281340956062
54,5.5,2.3,4.0,1.3,Iris-versicolor,0.6937435211729267
56,5.7,2.8,4.5,1.3,Iris-versicolor,-1.1634533646854723
59,6.6,2.9,4.6,1.3,Iris-versicolor,-0.8470671267427377
60,5.2,2.7,3.9,1.4,Iris-versicolor,-0.9513727220564511
61,5.0,2.0,3.5,1.0,Iris-versicolor,-0.7393479989973478
62,5.9,3.0,4.2,1.5,Iris-versicolor,-1.2301918764085054
63,6.0,2.2,4.0,1.0,Iris-versicolor,1.786352408174667
64,6.1,2.9,4.7,1.4,Iris-versicolor,-0.6580766268651084
65,5.6,2.9,3.6,1.3,Iris-versicolor,0.24116518755920652
67,5.6,3.0,4.5,1.5,Iris-versicolor,-0.34558727645048604
68,5.8,2.7,4.1,1.0,Iris-versicolor,-0.7637704351120713
69,6.2,2.2,4.5,1.5,Iris-versicolor,0.7691088849807769
